"Harm1"	"Harm2"	"Harm3"	"Harm4"	"Fair1"	"Fair2"	"Fair3"	"Fair4"	"Ingroup1"	"Ingroup2"	"Ingroup3"	"Ingroup4"	"Auth1"	"Auth2"	"Auth3"	"Auth4"	"Pure1"	"Pure2"	"Pure3"	"Pure4"
"103"	5	5	6	3	2	4	4	4	2	5	2	3	2	1	4	4	1	2	2	1
"104"	3	3	3	5	4	5	4	4	3	5	3	2	2	2	5	5	1	2	1	1
"105"	6	6	6	6	6	6	6	6	1	2	3	1	1	1	4	1	1	2	2	1
"106"	5	3	5	4	4	5	5	4	1	2	3	5	2	1	3	2	3	2	2	2
"107"	5	6	6	6	4	5	6	6	3	4	4	6	1	2	2	2	2	2	3	4
"108"	5	3	4	3	4	4	6	5	3	3	4	6	2	1	6	2	2	2	2	1
"109"	4	5	5	5	3	2	1	4	1	1	4	3	1	1	3	6	1	1	1	1
"110"	5	4	5	6	5	6	6	6	1	3	4	1	5	1	6	1	1	1	1	1
"111"	4	4	4	3	5	5	4	6	2	1	5	3	2	2	3	2	2	2	1	1
"112"	6	6	5	5	5	6	6	5	1	4	2	3	2	2	5	2	2	2	3	1
"113"	3	2	4	4	3	4	4	4	1	3	2	1	2	1	1	2	1	1	1	1
"114"	5	6	6	4	5	5	6	5	2	4	3	4	3	2	3	3	3	2	3	4
"115"	4	6	5	4	5	5	6	6	2	4	3	4	2	2	4	2	1	1	1	1
"116"	4	5	6	5	5	5	6	6	2	4	4	2	4	3	4	4	2	2	2	2
"117"	5	6	6	5	5	5	6	4	1	2	2	2	1	1	1	1	1	1	1	1
"118"	5	4	5	6	3	5	5	5	3	3	4	4	5	4	5	3	5	4	6	3
"119"	5	5	5	6	4	4	6	6	4	2	5	4	3	2	5	4	3	3	5	3
"120"	3	4	5	5	4	5	4	4	2	2	5	5	1	1	5	1	3	1	1	1
"121"	4	4	4	4	4	3	6	4	3	3	5	5	4	3	5	3	5	5	5	5
"122"	4	4	6	5	5	4	6	6	1	1	2	4	2	2	1	4	2	2	3	2
"123"	3	3	2	3	2	2	4	5	4	4	6	4	5	4	6	5	6	5	5	5
"124"	4	5	6	6	4	4	5	5	3	4	5	6	4	2	5	1	2	2	4	1
"125"	5	5	6	5	4	5	6	5	1	2	4	3	2	2	2	4	4	3	3	3
"126"	5	4	4	2	4	5	5	4	3	3	3	2	3	2	4	2	3	2	2	3
"127"	4	5	5	6	4	5	4	3	1	3	1	1	1	1	1	1	1	1	1	1
"128"	3	4	4	3	5	4	4	5	1	2	3	1	1	1	2	2	1	1	1	1
"129"	3	4	6	5	6	6	5	5	5	3	5	2	6	5	6	3	5	4	2	3
"130"	4	5	6	5	6	5	5	5	3	3	2	1	3	2	4	2	3	3	2	1
"131"	3	6	6	6	5	5	6	5	2	2	5	1	2	2	3	1	1	1	2	1
"132"	4	5	5	6	2	5	5	5	4	4	4	3	4	2	5	5	5	4	4	4
"133"	3	5	4	5	4	3	5	5	3	4	4	3	3	4	4	4	5	4	5	4
"134"	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	4	6	6	6	6
"135"	4	5	5	6	4	5	5	5	2	4	4	2	2	1	4	6	3	2	3	2
"136"	6	6	6	6	6	6	6	1	1	3	3	6	1	1	4	5	3	3	1	1
"137"	5	3	6	4	3	2	6	6	3	3	6	6	5	1	6	6	6	1	6	6
"138"	5	5	5	5	4	5	5	5	1	3	4	4	3	1	4	2	2	2	2	1
"139"	5	6	6	6	6	5	5	3	1	2	2	5	2	2	4	1	2	2	2	1
"140"	3	4	4	5	4	5	5	3	3	4	5	4	4	3	5	5	5	3	4	4
"141"	5	5	6	5	4	5	6	4	2	4	3	4	4	2	4	6	4	2	4	5
"142"	4	5	5	6	6	5	6	6	2	2	3	2	2	2	3	2	2	2	1	1
"143"	3	3	5	4	4	5	6	5	3	3	4	4	3	3	6	5	4	3	3	4
"144"	5	4	5	6	4	4	4	5	3	4	5	4	5	5	5	5	4	1	3	4
"145"	5	6	6	6	4	5	6	6	1	5	4	2	3	1	5	1	1	2	3	1
"146"	4	4	5	6	6	6	6	6	3	4	4	2	4	1	5	1	1	1	1	1
"147"	4	4	5	5	5	5	6	6	4	4	5	4	4	3	4	4	1	1	2	2
